obs,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
32,0.10717919825507058,0.15744263820012555,0.20147123144154577,0.24218154728387864,0.2806830548165022,0.3175414959753039,0.3530915520137595,0.3875499364924353,0.4210655899424448,0.4537450942591657,0.48566678300955407
33,0.10426999754245202,0.15318725382118914,0.19606244808647807,0.23572605646469727,0.2732550517107523,0.30919875880442116,0.3438823163466992,0.3775164499215068,0.4102461982955737,0.44217559002872625,0.47338135145800564
34,0.10151455415332375,0.14915573292685927,0.19093606904280996,0.22960486562808866,0.2662084277037183,0.3012805649545216,0.33513737399842747,0.367983880511636,0.39996137922536384,0.43117141282944665,0.46168909794714436
35,0.098900992324404,0.14533087233613673,0.18607057420164919,0.22379273965896493,0.2595146864621381,0.29375554086595146,0.3268228229904496,0.3589161306566562,0.39017316891990245,0.42069306843839166,0.4505493486318262
36,0.09641862859446362,0.1416971865327385,0.18144657208647247,0.21826691249272628,0.25314808590364857,0.286595303893562,0.3189079431127946,0.3502804299517738,0.3808470294611818,0.41070453766728343,0.43992489997397105
37,0.09405782583720246,0.13824069863730512,0.177046543508131,0.21300679349288384,0.2470853154412602,0.27977411784009787,0.3113648370093497,0.34204696929838413,0.37195148391969146,0.4011729212144265,0.42978168324714267
38,0.09180986822558392,0.13494876115952123,0.17285462131770374,0.2079937145777145,0.24130521722887308,0.27326859442291307,0.30416811779223124,0.3341885807113139,0.363457794753274,0.39206812363239807,0.42008846187466353
39,0.08966685370757138,0.13180990169850068,0.1688564004761361,0.2032107116795499,0.23578854462856524,0.2670574337974545,0.2972946364892669,0.32668045661881623,0.3553396801358229,0.3833625722834177,0.4108165592168396
40,0.08762160119728661,0.12881368963474088,0.1650387736914096,0.1986423352431054,0.23051775227522292,0.26112119838851094,0.29072324366489705,0.31949990331787703,0.34757306346399497,0.37503096742310016,0.40193961420768026
41,0.08566757018443184,0.12595062055774228,0.16138978870370846,0.19427448537719041,0.22547681305523387,0.25544211520976884,0.28443458042480957,0.31262612400404177,0.3401358518706343,0.3670500598822617,0.39343336222575687
42,0.08379879086570387,0.12321201573766641,0.15789852396958837,0.19009426801158308,0.22065105808571017,0.2500039026200967,0.2784108947444477,0.30604002744648845,0.33300774010038686,0.359398453163229,0.38527543868318304
43,0.08200980322579111,0.12058993440607173,0.1545549800406396,0.18608986901241972,0.21602703641253582,0.24479161810082126,0.2726358796738285,0.2997240589374716,0.3261700365727438,0.3520564271073644,0.37744520297809
44,0.08029560375848063,0.11807709698213283,0.1513499843762965,0.18225044370221527,0.21159239166598606,0.23979152416608282,0.26709453048515436,0.2936620506224061,0.3196055088718467,0.34500578061101655,0.3699235806463633
45,0.07865159873288834,0.11566681768414877,0.1482751076943562,0.1785660196359189,0.2073357533428935,0.23499096995768579,0.26177301826177063,0.28783908872396263,0.3132982462645976,0.33822969116142015,0.36269292174756285
46,0.07707356308558035,0.11335294521511351,0.14532259026219066,0.17502741081904213,0.2032466407411883,0.2303782864425082,0.25665857779073,0.2822413955206099,0.3072335371637849,0.33171258922984614,0.35573687371578944
47,0.07555760416399628,0.11112981041629325,0.14248527677899445,0.17162614183124436,0.19931537786964582,0.22594269343738355,0.25173940792792504,0.2768562242359354,0.30139775972624383,0.3254400457966176,0.349040267091984
48,0.07410012966611745,0.10899217995251859,0.1397565587045544,0.16835438054946344,0.19553301790367278,0.22167421694386324,0.2470045828638683,0.2716717652474627,0.29577828401255596,0.3193986714928469,0.34258901272617925
49,0.07269781922049635,0.10693521523391615,0.13713032306080064,0.16520487835726405,0.19189127596571287,0.21756361549195893,0.2424439729375651,0.26667706223914406,0.2903633843391683,0.3135760260289987,0.3363700091951255
50,0.07134759913335868,0.10495443589637811,0.1346009068750702,0.1621709168883817,0.18838246918342832,0.21360231437479651,0.23804817383202986,0.26186193710585537,0.28514216063034986,0.30796053674300783,0.33037105932225413
