obs,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
14,0,0.012722215247890925,0.040093921271464945,0.07571386712693183,0.11721378644576923,0.1634473175355414,0.21380798904474124,0.26799202452413634,0.32590644579650746,0.38764423103907414,0.4535091567010683
15,0,0.011866895493268581,0.03736125910306534,0.07047549346981558,0.10897453325692374,0.15176324439714728,0.19824496141341583,0.2480953536573739,0.30116980025498397,0.35746830120624606,0.41713547738519774
16,0,0.011119344764642542,0.03497748774324048,0.06591599071428143,0.1018206749121305,0.14164643854782039,0.1848123255886364,0.23098652405492356,0.27999563610326017,0.33178556398811904,0.38641040545502725
17,1.1319859841029515e-17,0.01046040098499759,0.0328797737637927,0.06191126637620996,0.09555044322080115,0.1327998961029523,0.1730972039724374,0.21611056790214817,0.2616510644240944,0.30963235060004435,0.3600544264299979
18,0,0.009875190978303066,0.031019522645612387,0.05836576805861448,0.09000928108601693,0.12499753379553996,0.16278774750833694,0.20305246572163627,0.2455951812700564,0.2903102150516998,0.3371641564204278
19,0,0.009351994062300369,0.029358560298870167,0.05520471638534141,0.08507676632916249,0.11806412346782508,0.1536437908779228,0.19149512745135075,0.2314189128245424,0.27329805161179566,0.3170780924511316
20,1.1641727053856863e-17,0.00888144880079538,0.02786648121376822,0.05236874589621661,0.08065766257979808,0.11186170140766569,0.14547724486760433,0.1811918241010821,0.2188065323728171,0.25819785825562425,0.2992980081982124
21,0,0.0084559878098264,0.02651876743807452,0.04981012499725268,0.0766756505276179,0.1062801302263647,0.13813862952122133,0.17194752605083477,0.20751011368564493,0.24469968925375948,0.28344006101534175
22,0,0.008069427621263822,0.025295428990995284,0.047490037140552534,0.07306884583422062,0.10123039985248514,0.13150760287989471,0.16360593181356248,0.1973320467036613,0.2325581619647188,0.2692029418081332
23,0,0.007716666143453135,0.024180004484220367,0.04537659093631236,0.0697865356306257,0.09663978026586202,0.1254861604498635,0.15604024453214027,0.18811275938797734,0.2215762279247795,0.25634635325674204
24,0,0.007393456165505806,0.023158815297043337,0.043443340801234416,0.06678676328632953,0.09244825352851854,0.11999366228595003,0.14914648196960872,0.17972190327297752,0.21159367559548778,0.24467602609811764
25,0,0.007096233501987256,0.022220401284847594,0.04166817150440361,0.06403451456676441,0.08860584686802576,0.11496313693401446,0.14283853850956565,0.1720519030690799,0.20247880774458227,0.23403302377747975
26,0,0.0068219849935434885,0.02135508847227621,0.04003244623610615,0.06150033723578358,0.0850706114894241,0.11033849405783296,0.1370444832201838,0.16501315595463767,0.19412230322940524,0.22428594435712804
27,0,0.00656814598078513,0.020554654060988647,0.038520348283098395,0.05915927776244331,0.08180707142976534,0.10607239452360043,0.13170374561907194,0.1585304046977977,0.18643261498715652,0.21532512960965608
